Account Balance;Meal Price;Incoming Credit;Date
25.44 € ;0.00 €;0 €;06/01/23
20.58 € ;4.86 €;0 €;07/01/23
20.58 € ;0.00 €;0 €;08/01/23
20.58 € ;0.00 €;0 €;09/01/23
15.72 € ;4.86 €;0 €;10/01/23
10.86 € ;4.86 €;0 €;11/01/23
6 € ;4.86 €;40 €;12/01/23
42.9 € ;4.24 €;0 €;13/01/23
38.04 € ;4.86 €;0 €;14/01/23
38.04 € ;0.00 €;0 €;15/01/23
38.04 € ;0.00 €;0 €;16/01/23
33.18 € ;4.86 €;0 €;17/01/23
28.32 € ;4.86 €;0 €;18/01/23
23.46 € ;4.86 €;0 €;19/01/23
18.6 € ;4.86 €;0 €;20/01/23
13.74 € ;4.86 €;0 €;21/01/23
13.74 € ;0.00 €;0 €;22/01/23
13.74 € ;0.00 €;0 €;23/01/23
8.88 € ;4.86 €;0 €;24/01/23
4.02 € ;4.86 €;40 €;25/01/23
39.16 € ;4.86 €;0 €;26/01/23
39.16 € ;0.00 €;0 €;27/01/23
39.16 € ;0.00 €;0 €;28/01/23
39.16 € ;0.00 €;0 €;29/01/23
39.16 € ;0.00 €;0 €;30/01/23
34.3 € ;4.86 €;0 €;31/01/23
29.44 € ;4.86 €;0 €;01/02/23
24.58 € ;4.86 €;0 €;02/02/23
21.48 € ;3.10 €;0 €;03/02/23
21.48 € ;0.00 €;0 €;04/02/23
21.48 € ;0.00 €;0 €;05/02/23
21.48 € ;0.00 €;0 €;06/02/23
16.62 € ;4.86 €;0 €;07/02/23
11.76 € ;4.86 €;0 €;08/02/23
8.66 € ;3.10 €;0 €;09/02/23
3.8 € ;4.86 €;40 €;10/02/23
38.94 € ;4.86 €;0 €;11/02/23
38.94 € ;0.00 €;0 €;12/02/23
38.94 € ;0.00 €;0 €;13/02/23
34.08 € ;4.86 €;0 €;14/02/23
29.22 € ;4.86 €;0 €;15/02/23
24.36 € ;4.86 €;0 €;16/02/23
19.5 € ;4.86 €;0 €;17/02/23
19.5 € ;0.00 €;0 €;18/02/23
19.5 € ;0.00 €;0 €;19/02/23
19.5 € ;0.00 €;0 €;20/02/23
14.64 € ;4.86 €;0 €;21/02/23
9.78 € ;4.86 €;0 €;22/02/23
4.92 € ;4.86 €;0 €;23/02/23
4.92 € ;0.00 €;0 €;24/02/23
4.92 € ;0.00 €;0 €;25/02/23
4.92 € ;0.00 €;0 €;26/02/23
4.92 € ;0.00 €;60 €;27/02/23
60.06 € ;4.86 €;0 €;28/02/23
55.2 € ;4.86 €;0 €;01/03/23
55.2 € ;0.00 €;0 €;02/03/23
50.34 € ;4.86 €;0 €;03/03/23
50.34 € ;0.00 €;0 €;04/03/23
50.34 € ;0.00 €;0 €;05/03/23
50.34 € ;0.00 €;0 €;06/03/23
45.48 € ;4.86 €;0 €;07/03/23
